,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,latitude,longitude,image_date
ES-Agu,281.8620910644531,283.0682678222656,285.92466735839844,287.4348602294922,292.7337188720703,0.1767425537109375,0.1921539306640625,0.1879119873046875,0.154296875,36.940046,-2.033208,2006-01-01
ES-LJu,275.42601013183594,278.343505859375,280.9910125732422,281.9687042236328,287.7433013916016,0.280792236328125,0.29388427734375,0.2407379150390625,0.1378936767578125,36.926594,-2.752115,2004-01-01
FI-Sii,269.4393768310547,272.0697937011719,273.0926971435547,275.4269104003906,278.9233856201172,0.372100830078125,0.3802642822265625,0.3991546630859375,0.3839111328125,61.83265,24.19285,2016-01-01
FR-LGt,268.8077850341797,272.82398986816406,274.53028869628906,279.51239013671875,284.3647155761719,0.31231689453125,0.316925048828125,0.3100738525390625,0.2984619140625,47.322918,2.284102,2017-01-01
SE-Deg,250.21987915039065,271.3575897216797,271.9608917236328,273.6066436767578,275.9140625,0.201873779296875,0.2015380859375,0.19818115234375,0.232269287109375,64.18203,19.55654,2003-01-01
ES-Abr,269.99366760253906,274.5834045410156,278.7632751464844,283.2117462158203,289.8755798339844,0.2811126708984375,0.288421630859375,0.257537841796875,0.214630126953125,38.701839,-6.785881,2015-01-01
ES-LM1,278.9642944335937,279.1456451416016,279.36326599121094,281.3257751464844,286.3754425048828,0.42340087890625,0.4190826416015625,0.410736083984375,0.339630126953125,39.94269,-5.778683,2014-01-01
ES-LM2,278.8314819335937,279.0538482666016,279.30662536621094,281.2632751464844,286.1352081298828,0.420562744140625,0.4112091064453125,0.412811279296875,0.3403167724609375,39.934592,-5.775881,2014-01-01
CZ-wet,273.4870910644531,272.8670959472656,273.35044860839844,275.0715789794922,279.7044219970703,0.3846435546875,0.3786163330078125,0.3788299560546875,0.374481201171875,49.0247,14.7704,2006-01-01
ES-Cnd,277.2514038085937,277.6417388916016,278.20506286621094,281.5210876464844,287.6391143798828,0.3457183837890625,0.3497161865234375,0.2422027587890625,0.318695068359375,37.914998,-3.227659,2014-01-01
NL-Loo,269.1827697753906,273.1349334716797,275.1620635986328,278.8078155517578,281.025390625,0.2818450927734375,0.298431396484375,0.311370849609375,0.2632904052734375,52.166447,5.74355,2003-01-01
NL-Cab,272.0148010253906,274.3146209716797,276.5155792236328,279.7550811767578,282.162109375,0.40655517578125,0.4120635986328125,0.4213104248046875,0.39947509765625,51.971,4.927,2003-01-01
