Column1,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
"'2015-02-20T17:00:00',",278.184,"100,253.67","1,249,236","20,020,377",279.035,0.008,1.448,4.765
"'2015-02-20T18:00:00',",278.091,"100,160.38","1,249,236","21,235,112",278.898,0.01,1.267,4.617
"'2015-02-20T19:00:00',",278.277,"100,072.95","1,249,236","22,456,050",279.295,0.011,1.195,4.812
"'2015-02-20T20:00:00',",278.258,"99,964.16","1,249,236","23,674,279",279.262,0.013,1.398,4.892
"'2015-02-20T21:00:00',",278.18,"99,858.65","1,249,236","24,892,447",279.193,0.014,1.567,5.036
"'2015-02-20T22:00:00',",278.018,"99,730.85","1,249,236","26,109,066",279.048,0.014,1.695,5.29
"'2015-02-20T23:00:00',",277.82,"99,619.37","1,249,236","27,322,170",278.777,0.015,1.712,5.312
"'2015-02-21T00:00:00',",277.652,"99,491.34","1,249,236","28,531,569",278.569,0.016,1.677,4.727
"'2015-02-21T01:00:00',",277.908,"99,399.22",0,"1,210,210.75",278.509,0.001,2.046,3.213
"'2015-02-21T02:00:00',",277.669,"99,372.82",0,"2,421,291",277.917,0.002,2.923,0.131
"'2015-02-21T03:00:00',",276.229,"99,378.34",0,"3,617,802.13",276.299,0.003,3.289,-2.996
"'2015-02-21T05:00:00',",274.637,"99,468.13",0,"5,941,504",275.133,0.004,2.913,-2
"'2015-02-23T01:00:00',",273.983,"99,547.76",0,"1,135,287.81",275.298,0.001,1.526,7.873
"'2015-02-23T02:00:00',",274.281,"99,443.77",0,"2,273,541.69",275.199,0.002,2.103,7.389
"'2015-02-23T05:00:00',",275.824,"99,215.63",0,"5,745,402.50",276.919,0.003,2.745,5.669
"'2015-02-25T13:00:00',",276.774,"101,493.54","4,417,476","12,364,715",279.775,0.002,2.505,3.374
"'2015-02-26T11:00:00',",278.309,"101,493.92","1,492,928","12,519,675",279.771,0,-0.546,4.509
"'2015-02-26T19:00:00',",279.216,"100,877.32","2,638,918","22,345,253",280.296,0.003,0.344,4.6
"'2015-02-26T20:00:00',",279.448,"100,829.54","2,638,918","23,587,202",280.359,0.004,0.811,4.072
"'2015-02-26T21:00:00',",279.762,"100,778.00","2,638,918","24,833,429",280.433,0.005,1.591,2.886
"'2015-02-27T00:00:00',",277.181,"100,905.94","2,638,918","28,531,542",278.905,0.009,1.653,-4.95
"'2015-02-27T01:00:00',",276.614,"100,947.21",0,"1,179,703.06",278.236,0,1.031,-4.41
"'2015-02-28T00:00:00',",273,"102,006.30","8,492,826","23,472,385",274.025,0,1.631,1.761
"'2015-02-28T01:00:00',",272.684,"102,004.07",0,"831,898.56",273.639,0,1.559,2.006
"'2015-02-28T02:00:00',",272.471,"101,980.44",0,"1,664,475.69",273.41,0,1.198,2.352
"'2015-02-28T03:00:00',",272.267,"101,928.59",0,"2,492,969.56",273.193,0,0.978,2.576
"'2015-02-28T04:00:00',",272.09,"101,859.36",0,"3,325,929.50",273.036,0,0.792,2.752
"'2015-02-28T05:00:00',",272.016,"101,846.59",0,"4,190,855.50",273.031,0,0.732,2.858
"'2015-02-28T06:00:00',",272.005,"101,857.93",0,"5,103,512",273.143,0,0.727,2.99
"'2015-02-28T07:00:00',",272.347,"101,856.54","27,280","5,989,061",273.424,0,0.517,3.281
"'2015-02-28T08:00:00',",272.878,"101,827.37","303,000","6,900,785",274.395,0,0.203,3.234
"'2015-02-28T09:00:00',",273.306,"101,754.91","816,412","7,862,510",275.746,0,0.117,3.902
"'2015-02-28T10:00:00',",273.808,"101,685.50","1,777,504","8,843,827",277.572,0,0.592,4.535
"'2015-02-28T11:00:00',",274.242,"101,654.22","2,901,266","9,870,130",279.108,0,1.1,4.871
"'2015-02-28T12:00:00',",274.547,"101,561.11","4,071,342","10,925,957",280.233,0,1.552,5.249
"'2015-02-28T13:00:00',",273.694,"101,441.91","5,387,730","11,989,594",281.289,0,3.531,6.481
"'2015-02-28T14:00:00',",273.573,"101,343.56","6,389,344","13,065,346",281.522,0,2.919,6.062
"'2015-02-28T15:00:00',",273.851,"101,253.95","7,123,870","14,140,967",281.478,0,2.055,5.506
"'2015-02-28T16:00:00',",273.775,"101,155.72","7,541,760","15,261,736",281.218,0,1.477,5.374
"'2015-02-28T17:00:00',",273.134,"101,091.77","7,669,508","16,372,273",280.699,0,1.036,5.518
"'2015-02-28T18:00:00',",272.386,"101,023.42","7,670,772","17,523,055",280.466,0,0.722,5.95
"'2015-02-28T19:00:00',",272.279,"100,928.06","7,670,772","18,647,083",280.231,0,0.415,6.134
"'2015-02-28T20:00:00',",271.94,"100,820.45","7,670,772","19,842,508",280.453,0,0.749,6.453
"'2015-02-28T21:00:00',",271.572,"100,690.71","7,670,772","21,045,935",280.503,0,1.012,6.669
"'2015-02-28T22:00:00',",271.508,"100,563.45","7,670,772","22,248,705",280.476,0,1.269,6.673
"'2015-02-28T23:00:00',",271.781,"100,475.44","7,670,772","23,454,110",280.488,0,1.833,6.754
"'2015-03-01T00:00:00',",272.705,"100,328.11","7,670,772","24,658,373",280.258,0,1.909,6.91
"'2015-03-01T03:00:00',",276.362,"99,863.55",0,"3,550,735.81",278.692,0.001,1.487,7.095
"'2015-03-01T04:00:00',",277.481,"99,814.11",0,"4,763,505",279.08,0.002,2.807,6.667
"'2015-03-01T05:00:00',",278.719,"99,755.63",0,"5,980,880.50",279.752,0.002,3.677,5.739
"'2015-03-01T06:00:00',",279.835,"99,756.70",0,"7,216,423",280.607,0.003,4.63,4.444
"'2015-03-03T14:00:00',",276.978,"101,253.11","4,186,872","13,778,078",279.416,0.004,4.286,3.727
"'2015-03-04T23:00:00',",275.042,"103,247.62","9,843,004.54","21,285,276",276.577,0.001,2.645,-2.686
"'2015-03-05T00:00:00',",274.966,"103,328.01","9,843,004.54","22,170,299",276.202,0.001,2.453,-2.386
"'2015-03-05T21:00:00',",274.831,"103,660.48","9,040,568.77","19,842,264",276.261,0,2.14,1.226
"'2015-03-05T22:00:00',",274.635,"103,650.00","9,040,568.77","20,786,316",275.991,0,1.995,1.429
"'2015-03-11T05:00:00',",273.029,"103,091.20",0,"4,142,566",273.067,0,-0.918,-1.097
"'2015-03-11T06:00:00',",273.777,"103,091.63",0,"4,963,222",273.811,0,-1.012,-0.509
"'2015-03-11T07:00:00',",272.771,"103,184.32","95,720","5,983,111",272.861,0,-0.732,0.211
"'2015-03-11T08:00:00',",274.167,"103,209.90","440,676","7,045,068",274.417,0,-0.428,0.364
"'2015-03-11T09:00:00',",275.389,"103,214.74","1,041,656","8,167,874",275.649,0,-0.52,0.629
"'2015-03-18T08:00:00',",278.674,"102,647.09","905,246","7,625,050",280.015,0,0.397,-1.622
"'2015-03-19T06:00:00',",277.284,"102,720.69","1,434","7,122,929",277.945,0,0.822,-1.78
"'2015-03-26T19:00:00',",277.353,"100,452.36","5,629,260","21,427,777",278.003,0.004,2.491,3.146
"'2015-03-28T14:00:00',",280.166,"101,171.23","2,946,066","15,216,846",280.931,0.002,1.879,4.823
"'2015-03-29T15:00:00',",281.909,"99,067.54","2,258,420","18,834,588",283.295,0.01,8.767,4.856
"'2015-03-29T16:00:00',",281.935,"98,964.82","2,394,020","20,112,571",283.086,0.011,8.433,4.737
"'2015-03-29T17:00:00',",281.611,"98,960.90","2,434,504","21,397,540",283.069,0.012,9.422,4.004
"'2015-03-30T23:00:00',",276.947,"100,001.97","15,449,842","23,129,531",278.649,0.004,1.967,5.802
"'2015-03-31T00:00:00',",277.94,"99,684.61","15,449,842","24,329,258",279.432,0.006,2.069,6.13
"'2015-03-31T01:00:00',",279.871,"99,365.16",0,"1,220,655.31",280.816,0.002,4.71,5.337
"'2015-03-31T02:00:00',",281.689,"99,170.91",0,"2,483,739.69",282.484,0.005,8.164,4.067
"'2015-03-31T03:00:00',",281.816,"99,055.77",0,"3,771,732.69",282.887,0.006,9.289,3.499
"'2015-03-31T04:00:00',",281.59,"99,026.54",0,"5,058,422.63",282.954,0.006,9.889,3.302
"'2015-03-31T05:00:00',",280.852,"98,998.27",0,"6,342,931.50",282.699,0.007,10.525,2.256
"'2015-03-31T06:00:00',",279.892,"99,094.95","35,672","7,507,226",282.034,0.007,10.365,0.625
"'2015-03-31T07:00:00',",278.914,"99,202.92","360,192","8,584,745",282.316,0.008,10.372,0.123
"'2015-03-31T08:00:00',",277.888,"99,327.61","1,148,418","9,613,505",282.421,0.008,11.449,-0.177
"'2015-03-31T09:00:00',",277.057,"99,436.34","2,289,576","10,659,283",282.468,0.008,11.58,-1.421
"'2015-03-31T10:00:00',",275.889,"99,594.28","3,838,724","11,672,388",282.51,0.008,11.64,-2.823
"'2015-03-31T11:00:00',",275.471,"99,763.67","5,657,320","12,681,930",282.524,0.008,11.284,-3.486
"'2015-03-31T12:00:00',",275.114,"99,934.94","7,747,454","13,707,717",282.818,0.009,10.579,-3.763
"'2015-03-31T13:00:00',",273.991,"100,078.07","9,889,266","14,704,437",282.895,0.009,10.655,-4.178
"'2015-03-31T14:00:00',",273.019,"100,218.86","11,818,292","15,697,437",282.82,0.009,10.262,-3.897
"'2015-03-31T15:00:00',",273.596,"100,318.29","13,253,324","16,666,667",282.104,0.009,9.483,-2.69
"'2015-03-31T16:00:00',",274.593,"100,380.15","14,404,574","17,636,395",281.279,0.009,8.664,-1.52
"'2015-03-31T17:00:00',",274.264,"100,458.09","14,837,310","18,677,917",280.661,0.009,8.575,-0.816
"'2015-03-31T18:00:00',",272.889,"100,567.53","14,994,076","19,636,127",279.833,0.009,9.278,-1.872
"'2015-03-31T19:00:00',",271.759,"100,713.52","14,994,528","20,617,074",279.745,0.009,8.449,-2.541
"'2015-03-31T20:00:00',",271.811,"100,788.18","14,994,528","21,622,050",279.035,0.009,7.292,-1.844
"'2015-03-31T21:00:00',",271.334,"100,807.86","14,994,528","22,547,973",278.827,0.009,7.33,-1.804
"'2015-03-31T22:00:00',",270.774,"100,842.82","14,994,528","23,502,101",278.59,0.01,7.397,-1.881
"'2015-03-31T23:00:00',",270.745,"100,885.70","14,994,528","24,444,826",278.196,0.01,7.605,-2.014
"'2015-04-01T00:00:00',",271.453,"100,955.82","14,994,528","25,424,462",277.865,0.01,7.665,-1.82
"'2015-04-01T01:00:00',",271.577,"101,012.39",0,"941,580.50",277.522,0,7.62,-1.986
"'2015-04-01T10:00:00',",274.775,"101,648.72","3,797,570","9,692,999",279.918,0.001,6.606,-1.539
"'2015-04-01T11:00:00',",275.042,"101,671.54","5,587,404","10,721,252",280.303,0.001,6.903,-1.91
"'2015-04-01T12:00:00',",274.989,"101,726.17","7,449,534","11,737,076",280.666,0.001,7.102,-2.317
"'2015-04-02T01:00:00',",276.205,"101,234.50",0,"1,158,918.81",278.218,0.001,5.622,0.32
"'2015-04-02T02:00:00',",276.496,"101,124.95",0,"2,327,204.88",278.045,0.003,5.66,0.203
"'2015-04-02T03:00:00',",276.926,"101,027.01",0,"3,517,841.75",278.185,0.004,5.114,-0.732
"'2015-04-02T04:00:00',",276.916,"100,974.89",0,"4,709,741.44",278.101,0.005,4.507,-2.075
"'2015-04-02T05:00:00',",276.449,"100,984.05",0,"5,889,988.50",277.811,0.006,4.135,-2.922
"'2015-04-08T07:00:00',",278.475,"103,420.67","496,634","7,287,381",278.616,0,-0.077,0.281
"'2015-04-08T08:00:00',",279.378,"103,447.62","1,339,332","8,450,788",280.064,0,0.326,0.166
"'2015-04-08T09:00:00',",279.801,"103,459.71","2,440,976","9,650,871",281.461,0,0.541,-0.204
"'2015-04-09T05:00:00',",277.745,"102,913.59",0,"5,247,242.50",278.417,0,-1.897,0.44
"'2015-04-09T06:00:00',",277.869,"102,916.15","140,852","6,236,770",278.494,0,-1.621,0.387
"'2015-04-09T07:00:00',",278.867,"102,854.46","771,942","7,196,438",280.183,0,-1.7,0.407
"'2015-04-11T10:00:00',",282.533,"101,556.98","3,957,000","10,552,489",286.077,0,3.959,4.114
"'2015-04-11T11:00:00',",282.733,"101,578.44","4,779,108","11,849,500",285.68,0.001,4.669,3.599
"'2015-04-14T14:00:00',",282.803,"102,331.12","15,728,038","15,152,827",291.221,0,5.504,1.095
"'2015-04-14T15:00:00',",282.591,"102,300.64","17,733,122","16,243,000",291.026,0,5.488,0.57
"'2015-04-15T00:00:00',",279.516,"102,094.24","20,556,828","25,566,140",281.775,0,2.153,1.676
